dataset, classifier, balancing, Feature Selection,TP, FP, TN, FN, Precision, Recall, ROC Area, Kappa
OPENJPA, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_SAMPLING, 2590.125, 107.12500000000001, 5.875, 53.750000000000014, 0.24087041637980564, 0.055180965260021524, 0.8080040281954635, 0.05297158786072727
OPENJPA, NAIVE_BAYES, NO_FEATURES_SELECTION, OVER_SAMPLING, 2384.0625, 84.31249999999999, 28.687499999999996, 259.8125, 0.1772426117284786, 0.2575306235679756, 0.7318354978315442, 0.12047216771339496
OPENJPA, NAIVE_BAYES, NO_FEATURES_SELECTION, UNDER_SAMPLING, 2368.8125, 85.43750000000001, 27.562500000000004, 275.0625000000001, 0.23989300371379055, 0.3561757724481783, 0.8446852603847589, 0.15267288032860774
OPENJPA, NAIVE_BAYES, NO_FEATURES_SELECTION, SMOTE, 2585.625, 102.875, 10.124999999999998, 58.250000000000014, 0.3057029803750497, 0.12614329716011055, 0.8119543579287268, 0.13089308168448713
OPENJPA, NAIVE_BAYES, BEST_FIRST, NO_SAMPLING, 2619.5000000000005, 95.31249999999999, 17.6875, 24.375, NaN, 0.12464144664671745, 0.8452017018502536, 0.1654124129991936
OPENJPA, NAIVE_BAYES, BEST_FIRST, OVER_SAMPLING, 767.6875, 15.499999999999998, 97.5, 1876.1875, 0.16684086062824693, 0.7826324337564773, 0.7438526625211085, 0.09780646028970785
OPENJPA, NAIVE_BAYES, BEST_FIRST, UNDER_SAMPLING, 981.375, 13.375, 99.62499999999999, 1662.5000000000002, 0.19964526389435036, 0.8004589448062535, 0.8609869016485183, 0.1665783628504443
OPENJPA, NAIVE_BAYES, BEST_FIRST, SMOTE, 2590.624999999999, 75.375, 37.625, 53.25, 0.5266008437564483, 0.2754473825054902, 0.8516815535650857, 0.2888594386834761
OPENJPA, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_SAMPLING, 2622.3124999999995, 54.8125, 58.18750000000001, 21.5625, 0.8000576202575755, 0.516412157877875, 0.9321395958846772, 0.5889295053050057
OPENJPA, RANDOM_FOREST, NO_FEATURES_SELECTION, OVER_SAMPLING, 2293.875, 34.125, 78.87500000000001, 349.99999999999994, 0.2381670318370835, 0.6922052375728609, 0.8015742529878673, 0.28601208331463174
OPENJPA, RANDOM_FOREST, NO_FEATURES_SELECTION, UNDER_SAMPLING, 2248.25, 13.624999999999998, 99.37499999999999, 395.625, 0.24786659123930344, 0.885999067033064, 0.9134296887028062, 0.3242511091131426
OPENJPA, RANDOM_FOREST, NO_FEATURES_SELECTION, SMOTE, 2621.5, 53.12499999999999, 59.875, 22.375, 0.7943523820828295, 0.5269533331784402, 0.9326855304038049, 0.5932075741464646
OPENJPA, RANDOM_FOREST, BEST_FIRST, NO_SAMPLING, 2614.9375, 68.0625, 44.93750000000001, 28.9375, 0.6954611906741872, 0.4378663970916169, 0.8948784437225668, 0.5102273158596454
OPENJPA, RANDOM_FOREST, BEST_FIRST, OVER_SAMPLING, 2321.625, 41.25, 71.74999999999999, 322.25, 0.3942538461303749, 0.6156058306308201, 0.7759702386792846, 0.351631237133198
OPENJPA, RANDOM_FOREST, BEST_FIRST, UNDER_SAMPLING, 2177.375, 18.6875, 94.3125, 466.4999999999999, 0.3442804789033266, 0.8203567063748174, 0.8845151199385259, 0.37944649601328306
OPENJPA, RANDOM_FOREST, BEST_FIRST, SMOTE, 2609.5625, 64.375, 48.625, 34.3125, 0.6734988922323382, 0.4597329767776796, 0.8952283687001672, 0.5181560763249029
OPENJPA, IBK, NO_FEATURES_SELECTION, NO_SAMPLING, 2572.125, 31.500000000000004, 81.50000000000003, 71.75, 0.6680677427816418, 0.7097646983778076, 0.8365163232466231, 0.6355274009923236
OPENJPA, IBK, NO_FEATURES_SELECTION, OVER_SAMPLING, 1811.6250000000002, 34.43749999999999, 78.5625, 832.2499999999999, 0.22757994174276586, 0.6931925889298739, 0.7236197317854657, 0.23929350461654186
OPENJPA, IBK, NO_FEATURES_SELECTION, UNDER_SAMPLING, 2200.25, 15.937499999999996, 97.06250000000001, 443.625, 0.26208110354707137, 0.8414207773915164, 0.8402628561894818, 0.3351799230439752
OPENJPA, IBK, NO_FEATURES_SELECTION, SMOTE, 2566.0625, 31.375, 81.62500000000001, 77.81250000000001, 0.6449144174941586, 0.7103627845022096, 0.8363222241778424, 0.6207302846268369
OPENJPA, IBK, BEST_FIRST, NO_SAMPLING, 2597.375, 61.875, 51.12499999999999, 46.5, 0.6102954880471918, 0.47630712142901144, 0.8593905631062079, 0.5045225118249839
OPENJPA, IBK, BEST_FIRST, OVER_SAMPLING, 2342.5, 40.5625, 72.43749999999999, 301.375, 0.34095903528606764, 0.6297356843780161, 0.743386991643143, 0.33118019050600245
OPENJPA, IBK, BEST_FIRST, UNDER_SAMPLING, 2358.8125, 19.1875, 93.8125, 285.06250000000006, 0.35623586057820733, 0.8193953051909683, 0.8565103530384188, 0.4111447753719595
OPENJPA, IBK, BEST_FIRST, SMOTE, 2587.4375, 59.25, 53.75, 56.43749999999999, 0.5714729043723776, 0.4970504320323814, 0.8598895940786399, 0.49728046581991736
